source_parser,parser,run,mrd,checkpoint,n_t,n_frontier,gotu_est,rho,blocks_seen,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep
parsera_b,parsera,parsera_run_2,35.82,0.5,43325603,197,0.0,0.8752176075603084,2007,6.365820372840548,1.0,58,6.267871781778456,0.7629186900759557,8031,5.536375554100045,0.1130014326647564,5584
parsera_b,parsera,parsera_run_2,35.82,0.75,64988404,197,0.0,0.8701193732902263,2089,6.533258811987087,1.0,58,6.38797598074678,0.7604730154736444,7949,5.606571695887695,0.1130014326647564,5584
parsera_b,parsera,parsera_run_2,35.82,1.0,86651206,197,0.0,0.8655185277294205,2163,6.679191834831,1.0,55,6.464718215681528,0.7583142929677583,7878,5.659878198853776,0.1130014326647564,5584
parsera_b,parsera,parsera_run_20,35.82,0.1,9421253,197,0.0,0.892750559562298,1725,5.752891266459202,1.0,66,5.817663261671373,0.7707405177603853,8305,5.3058439138130495,0.1130014326647564,5584
parsera_b,parsera,parsera_run_20,35.82,0.25,23553133,197,0.0,0.8816836607809003,1903,6.146628323908697,1.0,57,6.0783445167530346,0.7659783677482792,8136,5.444839150804544,0.1130014326647564,5584
parsera_b,parsera,parsera_run_20,35.82,0.5,47106267,197,0.0,0.8767097736881373,1983,6.435886994597404,1.0,54,6.301456342180951,0.7637423998014642,8059,5.573885513366665,0.1130014326647564,5584
parsera_b,parsera,parsera_run_20,35.82,0.75,70659400,197,0.0,0.871238497886098,2071,6.606193699473881,1.0,54,6.425362126293838,0.7611341111529294,7971,5.637040220477645,0.1130014326647564,5584
parsera_b,parsera,parsera_run_20,35.82,1.0,94212534,197,0.0,0.8656428749067396,2161,6.727312873046981,1.0,54,6.497554962979201,0.7584062936175612,7881,5.692243315758647,0.1130014326647564,5584
parsera_b,parsera,parsera_run_3,35.82,0.1,8712813,197,4.590939803252979e-07,0.889517532952002,1777,5.717174508708511,1.0,68,5.769063198991612,0.7692400921100473,8251,5.275933378080737,0.1130014326647564,5584
parsera_b,parsera,parsera_run_3,35.82,0.25,21782034,197,0.0,0.8831758269087292,1879,6.09217173285337,1.0,67,6.07343817731765,0.7663803680981595,8150,5.404841806510133,0.1130014326647564,5584
parsera_b,parsera,parsera_run_3,35.82,0.5,43564069,197,0.0,0.8754663019149466,2003,6.384128472888487,1.0,64,6.2735860050334376,0.7628596338273758,8029,5.526043370951671,0.1130014326647564,5584
parsera_b,parsera,parsera_run_3,35.82,0.75,65346103,197,0.0,0.8708654563541408,2077,6.574585733819811,1.0,55,6.394585474791825,0.7609241587142139,7964,5.607382602300242,0.1130014326647564,5584
parsera_b,parsera,parsera_run_3,35.82,1.0,87128138,197,0.0,0.8658915692613778,2157,6.695561128265706,1.0,55,6.4650224898884625,0.7584982242516489,7884,5.672580649472608,0.1130014326647564,5584
