parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parserb,1.0,deep,5.641012208926857,5.654514117437562,0.013501908510704652
parserc,0.1,shallow,9.948509854792846,9.930692995002914,-0.017816859789931527
parserc,0.1,medium,2.8039992725736402,3.0313851939124308,0.22738592133879054
parserc,0.1,deep,7.020885107227298,6.702624858173763,-0.31826024905353467
parserc,0.25,shallow,9.85592445355041,9.791354222287756,-0.06457023126265327
parserc,0.25,medium,3.057484620375348,3.3117378750883386,0.25425325471299054
parserc,0.25,deep,6.61170811665953,6.348924214305921,-0.2627839023536094
parserc,0.5,shallow,9.762102257619185,9.680410533356998,-0.08169172426218729
parserc,0.5,medium,3.2705514844167674,3.541703163772516,0.2711516793557487
parserc,0.5,deep,6.323534493528809,6.093659731016725,-0.22987476251208427
parserc,0.75,shallow,9.685788558998194,9.58893217626966,-0.09685638272853403
parserc,0.75,medium,3.403228808410526,3.682505410606561,0.2792766021960351
parserc,0.75,deep,6.160468950095845,5.948038085415651,-0.21243086468019445
parserc,1.0,shallow,9.639916573785598,9.530919926105787,-0.10899664767981143
parserc,1.0,medium,3.499123665763429,3.7864649598315574,0.2873412940681286
parserc,1.0,deep,6.050842434374046,5.846625827035481,-0.20421660733856495
parserd,0.1,shallow,12.598740674738261,9.743555168081556,-2.8551855066567047
parserd,0.1,medium,3.57446062795042,3.7215290655767816,0.1470684376263618
parserd,0.1,deep,14.297203281255273,13.73920521269891,-0.5579980685563637
parserd,0.25,shallow,12.55218726776585,10.249705573720231,-2.3024816940456194
parserd,0.25,medium,3.9135445633845984,4.158266011076908,0.2447214476923092
parserd,0.25,deep,13.93379204058948,13.48815034661164,-0.4456416939778407
parserd,0.5,shallow,12.473967416035027,10.414205481606391,-2.0597619344286358
parserd,0.5,medium,4.180375023280668,4.425503317846967,0.2451282945662996
parserd,0.5,deep,13.668217280620478,13.230178904382957,-0.43803837623752173
parserd,0.75,shallow,12.405467787847943,10.436933126726284,-1.9685346611216588
parserd,0.75,medium,4.334307061766983,4.585840899806607,0.2515338380396237
parserd,0.75,deep,13.514518668495247,13.09403910395529,-0.42047956453995816
parserd,1.0,shallow,12.377976572149782,10.456012096850857,-1.9219644752989247
parserd,1.0,medium,4.4455720750494425,4.698423528696136,0.25285145364669326
parserd,1.0,deep,13.408474836669821,12.991993162952326,-0.4164816737174952
parsere,0.1,shallow,16.413348407957024,15.689922169830886,-0.7234262381261374
parsere,0.1,medium,4.2445332406956,4.343563022556793,0.09902978186119338
parsere,0.1,deep,23.658583987024265,22.998895195330938,-0.659688791693327
parsere,0.25,shallow,16.368556642524275,14.136316401695467,-2.2322402408288085
parsere,0.25,medium,4.5078658307772175,4.601936045480237,0.09407021470301924
parsere,0.25,deep,23.305623858797606,22.36820129906276,-0.9374225597348449
parsere,0.5,shallow,16.52927706432724,14.130957403502642,-2.3983196608245976
parsere,0.5,medium,4.711816667429089,4.794756196521817,0.08293952909272839
parsere,0.5,deep,23.03821112819881,22.092295361282332,-0.9459157669164782
parsere,0.75,shallow,16.5424493385276,14.127277730544506,-2.415171607983094
parsere,0.75,medium,4.837873702043835,4.915767661270436,0.0778939592266017
parsere,0.75,deep,22.878416577354553,21.930880271815674,-0.947536305538879
parsere,1.0,shallow,16.554981648733488,14.124723118736608,-2.4302585299968804
parsere,1.0,medium,4.931282332689955,5.001027577187276,0.06974524449732122
parsere,1.0,deep,22.768278132365758,21.819323790018913,-0.9489543423468447
parserf,0.1,shallow,20.3584846298778,18.33007342516425,-2.0284112047135494
parserf,0.1,medium,3.713703768362199,3.9177589083354944,0.2040551399732955
parserf,0.1,deep,31.48244840840088,30.154799865368553,-1.3276485430323284
parserf,0.25,shallow,20.17535474920901,18.871035397761137,-1.304319351447873
parserf,0.25,medium,3.984178112717882,4.410709399452478,0.42653128673459584
parserf,0.25,deep,31.099078906722287,30.12936348450615,-0.9697154222161366
parserf,0.5,shallow,20.00009434803489,18.676561430950958,-1.3235329170839307
parserf,0.5,medium,4.194187876275573,4.622894537849102,0.42870666157352844
parserf,0.5,deep,30.81246823936891,29.83474435188463,-0.9777238874842809
parserf,0.75,shallow,19.9651926546901,18.56429113822446,-1.400901516465641
parserf,0.75,medium,4.323229542908367,4.75414788278431,0.4309183398759435
parserf,0.75,deep,30.701305976976748,29.663516937546305,-1.037789039430443
parserf,1.0,shallow,19.924686739200375,18.484477133229472,-1.440209605970903
parserf,1.0,medium,4.415132041238564,4.843767223160419,0.42863518192185435
parserf,1.0,deep,30.611893738852075,29.541297135824763,-1.0705966030273117
